選手名,出場数,得点数,初出場,最終出場,ポジション
田中隼磨,1,0,2006/8/9,2006/8/9,"MF, DF"
中村直志,1,0,2006/8/9,2006/8/9,MF
山瀬功治,13,5,2006/8/9,2010/4/7,MF
我那覇和樹,6,3,2006/8/9,2006/11/15,FW
坂田大輔,1,0,2006/8/9,2006/8/9,FW
長谷部誠,114,2,2006/2/10,2018/7/2,MF
佐藤寿人,31,4,2006/2/10,2010/2/14,FW
箕輪義信,1,0,2005/10/12,2005/10/12,DF
駒野友一,78,1,2005/8/3,2013/8/14,DF
今野泰幸,93,4,2005/8/3,2017/12/16,"MF, DF"
村井慎二,5,0,2005/8/3,2006/5/9,MF
田中達也,16,3,2005/7/31,2009/3/28,FW
巻誠一郎,38,8,2005/7/31,2009/2/4,FW
阿部勇樹,53,3,2005/1/29,2011/10/7,"MF, DF"
大黒将志,22,5,2005/1/29,2008/8/20,FW
田中誠,32,0,2004/4/25,2006/5/9,DF
茶野隆行,7,0,2004/4/25,2005/8/7,DF
西紀寛,5,0,2004/4/25,2004/8/3,MF
玉田圭司,72,16,2004/3/31,2010/6/29,"FW, MF"
土肥洋一,4,0,2004/2/7,2005/10/8,GK
石川直宏,6,0,2003/12/7,2012/2/24,MF
山田卓也,4,0,2003/12/7,2004/8/18,"MF, DF"
加地亮,64,2,2003/10/8,2008/2/23,DF
茂庭照幸,9,1,2003/10/8,2006/6/12,DF
松井大輔,31,1,2003/6/22,2011/1/13,MF
坪井慶介,40,0,2003/6/11,2007/6/1,DF
大久保嘉人,60,6,2003/5/31,2014/6/24,"FW, MF"
永井雄一郎,4,1,2003/4/16,2003/6/22,FW
黒部光昭,4,0,2003/3/28,2004/2/7,FW
山田暢久,15,1,2002/11/20,2004/2/18,"MF, DF"
遠藤保仁,152,15,2002/11/11,2015/1/23,MF
小笠原満男,55,7,2002/3/21,2010/2/11,MF
三都主アレサンドロ,82,7,2002/3/21,2006/11/15,"MF, DF"
曽ヶ端準,4,0,2001/11/7,2003/9/10,GK
廣山望,2,0,2001/10/4,2001/10/7,MF
藤本主税,2,0,2001/7/1,2001/10/4,MF
都築龍太,6,0,2001/6/4,2009/9/9,GK
山下芳輝,3,0,2001/6/4,2003/4/16,FW
戸田和幸,20,1,2001/5/31,2002/6/18,MF
上村健一,4,0,2001/4/25,2001/6/7,DF
波戸康広,15,0,2001/4/25,2002/5/2,DF
鈴木隆行,55,11,2001/4/25,2005/10/12,FW
酒井友之,1,0,2000/12/20,2000/12/20,MF
高桑大二朗,1,0,2000/10/20,2000/10/20,GK
海本慶治,1,0,2000/10/20,2000/10/20,DF
北嶋秀朗,3,1,2000/10/17,2000/12/20,FW
宮本恒靖,71,3,2000/6/18,2006/6/18,DF
本山雅志,28,0,2000/6/18,2006/2/18,MF
上野良治,1,0,2000/6/6,2000/6/6,MF
小島宏美,1,0,2000/4/26,2000/4/26,FW
米山篤志,1,0,2000/2/16,2000/2/16,DF
中村俊輔,98,24,2000/2/13,2010/6/19,MF
明神智和,26,3,2000/2/13,2002/6/18,MF
高原直泰,57,23,2000/2/13,2008/5/27,FW
大岩剛,3,0,2000/2/5,2000/6/11,DF
松田直樹,40,1,2000/2/5,2005/1/29,DF
稲本潤一,82,5,2000/2/5,2010/6/24,MF
中田浩二,57,2,2000/2/5,2007/6/5,"MF, DF"
平瀬智行,2,0,2000/2/5,2000/2/13,FW
中澤佑二,110,17,1999/9/8,2010/9/4,DF
安藤正裕,1,0,1999/7/2,1999/7/2,"MF, DF"
吉原宏太,1,0,1999/7/2,1999/7/2,FW
福西崇史,64,7,1999/6/29,2006/6/18,MF
三浦淳宏,25,1,1999/6/6,2005/5/22,MF
下田崇,1,0,1999/3/31,1999/3/31,GK
森岡隆三,38,0,1999/3/31,2003/6/8,DF
奥大介,26,2,1998/10/28,2004/2/7,MF
久保竜彦,32,11,1998/10/28,2006/5/13,FW
市川大祐,10,0,1998/4/1,2002/6/18,DF
小野伸二,56,6,1998/4/1,2008/8/20,MF
楢崎正剛,77,0,1998/2/15,2010/9/7,GK
増田忠俊,1,0,1998/2/15,1998/2/15,MF
柳沢敦,58,17,1998/2/15,2006/6/18,FW
呂比須ワグナー,20,5,1997/9/28,1999/9/8,FW
